[2016-03-19 17:36:19-0.69279800 1458405379,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM texty WHERE lg='cs', rows:489 duration 3 ms
[2016-03-19 17:47:40-0.59874400 1458406060,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 17:47:40-0.67174800 1458406060,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM texty WHERE lg='cs', rows:489 duration 3 ms
[2016-03-19 18:01:53-0.36551900 1458406913,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 18:01:53-0.42152300 1458406913,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM texty WHERE lg='cs', rows:489 duration 2 ms
[2016-03-19 18:07:25-0.10949400 1458407245,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_uzivatelu.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT nazev, fb_id FROM odberatel, rows:25 duration 2049 ms
[2016-03-19 18:07:25-0.64752500 1458407245,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_uzivatelu.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM owner ORDER BY datum_zalozeni DESC, rows:728 duration 534 ms
[2016-03-19 18:15:16-0.47345400 1458407716,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 18:15:17-0.05148800 1458407717,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM texty WHERE lg='cs', rows:489 duration 19 ms
[2016-03-19 18:16:05-0.09823600 1458407765,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/preklady.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM texty ORDER BY zastup, lg, rows:1396 duration 652 ms
[2016-03-19 18:16:13-0.95674200 1458407773,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/pocty_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT count(*) pocet, a.aplikace_typ_id FROM aplikace a LEFT JOIN owner_x_app oa ON a.aplikace_id=oa.aplikace_id WHERE oa.aplikace_id IS NULL GROUP BY aplikace_typ_id ORDER BY a.aplikace_typ_id, rows:7 duration 911 ms
[2016-03-19 18:16:19-0.86008000 1458407779,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/preklady.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM texty ORDER BY zastup, lg, rows:1396 duration 38 ms
[2016-03-19 18:16:30-0.49168800 1458407790,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/premium_members.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT sum(amount) celkem_mesic, currency, MONTH(p.zalozeno) month, YEAR(p.zalozeno) year FROM platba p, owner o, slev_kody k WHERE state = 'PAID' AND spec_slev_kod IS NOT NULL  AND spec_slev_kod=kod AND owner_fb_id=fb_id GROUP BY YEAR(p.zalozeno), MONTH(p.zalozeno), currency ORDER BY YEAR(p.zalozeno), MONTH(p.zalozeno), currency;, rows:6 duration 445 ms
[2016-03-19 18:16:43-0.74644600 1458407803,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM platba WHERE state='PAID', rows:190 duration 14 ms
[2016-03-19 18:17:35-0.92943100 1458407855,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM platba WHERE state='PAID', rows:190 duration 16 ms
[2016-03-19 18:18:12-0.35851500 1458407892,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM platba WHERE state='PAID', rows:190 duration 4 ms
[2016-03-19 18:18:14-0.75465200 1458407894,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM platba WHERE state='PAID', rows:190 duration 3 ms
[2016-03-19 18:18:49-0.65664800 1458407929,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM platba WHERE state='PAID', rows:190 duration 3 ms
[2016-03-19 18:19:09-0.78479900 1458407949,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM platba WHERE state='PAID', rows:190 duration 3 ms
[2016-03-19 18:19:13-0.60501800 1458407953,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_uzivatelu.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT nazev, fb_id FROM odberatel, rows:25 duration 0 ms
[2016-03-19 18:19:13-0.62201900 1458407953,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_uzivatelu.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM owner ORDER BY datum_zalozeni DESC, rows:728 duration 11 ms
[2016-03-19 18:19:18-0.61230400 1458407958,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/uspesnost_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM owner_x_app oa, owner o, aplikace a WHERE fb_id=owner_id AND a.aplikace_id=oa.aplikace_id ORDER BY zalozeno DESC, a.aplikace_id, rows:683 duration 123 ms
[2016-03-19 18:19:19-0.42235000 1458407959,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/uspesnost_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT COUNT(*) s, aplikace_id FROM uzivatel where prijmeni <> 'undefined' GROUP BY aplikace_id ORDER BY s DESC, rows:254 duration 783 ms
[2016-03-19 18:19:19-0.57735900 1458407959,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/uspesnost_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT a.*, pa.page_id, pa.page_owner_id FROM aplikace a LEFT JOIN page_x_app pa ON a.aplikace_id = pa.aplikace_id WHERE a.aplikace_id='776', rows:1 duration 119 ms
[2016-03-19 18:19:24-0.20162400 1458407964,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/prehled_aplikaci.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM platba WHERE state='PAID', rows:190 duration 3 ms
[2016-03-19 18:19:28-0.37686300 1458407968,debug,127.0.0.1 /x51/dev-pesy/aa/administrace/premium_members.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT sum(amount) celkem_mesic, currency, MONTH(p.zalozeno) month, YEAR(p.zalozeno) year FROM platba p, owner o, slev_kody k WHERE state = 'PAID' AND spec_slev_kod IS NOT NULL  AND spec_slev_kod=kod AND owner_fb_id=fb_id GROUP BY YEAR(p.zalozeno), MONTH(p.zalozeno), currency ORDER BY YEAR(p.zalozeno), MONTH(p.zalozeno), currency;, rows:6 duration 4 ms
